,97-64,mile,access,stations,98-63
column-options,ardp,,,,ardp reverse
route-name,Maple Leaf,,,,Maple Leaf
,"<div style=""text-align: center;"">Amtrak <b>#64</b><br>Via Rail <b>#97</b></div>",,,,"<div style=""text-align: center;"">Amtrak <b>#63</b><br>Via Rail <b>#98</b></div>"
days,NYP,,,,NYP
updown,,,,,
TWO,first,0,,,last
OKL,,21,,,
AST,,32,,,
GMS,,56,,,
SCA,,71,,,
NFS,,82,,,
NFL,,84,,,
BFX,,107,,,
BUF,,113,,,
ROC,,174,,,
SYR,,253,,,
ROM,,294,,,
UCA,,307,,,
AMS,,367,,,
SDY,,385,,,
ALB,,403,,,
HUD,,430,,,
RHI,,456,,,
POU,,471,,,
CRT,,512,,,
YNY,,530,,,
NYP,last,544,,,first
